descrizione,luogo,categoria
"Tamponamento a catena in autostrada causa nebbia","Autostrada A1 km 45","Sinistro Stradale - Tamponamento"
"Danni da grandine sulla carrozzeria","Parcheggio Aziendale, Roma","Eventi Naturali - Grandine"
"Furto totale del veicolo durante la notte","Via Roma 10, Milano","Furto - Totale"
"Vandalismi su portiera e specchietto rotto","Piazza Garibaldi, Napoli","Atti Vandalici"
"Urto contro ostacolo fisso (muretto) in manovra","Cortile condominiale, Torino","Sinistro Kasko - Urto"
"Rottura parabrezza per sasso in corsa","Strada Statale 106","Cristalli - Parabrezza"
"Incendio del motore durante la marcia","Via Appia Antica","Incendio"
"Tamponamento lieve al semaforo rosso","Incrocio Via Dante/Via Verdi","Sinistro Stradale - Tamponamento"
"Danni da alluvione all'interno dell'abitacolo","Via Allagata 5, Genova","Eventi Naturali - Alluvione"
"Tentato furto con effrazione della serratura","Parcheggio Sotterraneo, Firenze","Furto - Parziale"
